channel,X,Y,Z
101.0,47.648324894480766,-872.9169999999998,-497.47068038721017
102.0,182.2660381420521,-914.3989999999997,-580.0
103.0,157.84701927816062,-914.3989999999997,-671.133019071026
104.0,91.13301907102611,-914.3989999999997,-737.8470192781606
105.0,4.268609954063408e-14,-914.3989999999997,-762.2660381420521
106.0,-91.13301907102603,-914.3989999999998,-737.8470192781607
107.0,-157.84701927816062,-914.3989999999998,-671.1330190710261
108.0,-182.26603814205217,-914.3989999999998,-580.0000000000001
109.0,-157.8470192781607,-914.3989999999998,-488.866980928974
110.0,-91.13301907102621,-914.3989999999999,-422.1529807218394
111.0,-1.2754088940194464e-13,-914.3989999999998,-397.7339618579478
112.0,91.13301907102603,-914.3989999999998,-422.15298072183936
113.0,157.8470192781605,-914.3989999999998,-488.86698092897376
114.0,-580.0,-858.675,-580.0
115.0,-484.7033502110384,-872.9169999999999,-580.0
116.0,-532.3516751055191,-872.9169999999999,-662.5293196127898
117.0,-627.6483248944808,-872.9169999999999,-662.5293196127898
118.0,-675.2966497889616,-872.9169999999999,-580.0
119.0,-627.6483248944809,-872.9169999999999,-497.4706803872103
120.0,-532.3516751055192,-872.9169999999999,-497.47068038721017
121.0,-397.7339618579479,-914.3989999999999,-580.0
122.0,-422.1529807218394,-914.3989999999999,-671.133019071026
123.0,-488.8669809289739,-914.3989999999999,-737.8470192781606
124.0,-579.9999999999999,-914.3989999999999,-762.2660381420521
125.0,-671.133019071026,-914.3989999999999,-737.8470192781607
126.0,-737.8470192781606,-914.3989999999999,-671.1330190710261
127.0,-762.2660381420521,-914.3989999999999,-580.0000000000001
128.0,-737.8470192781607,-914.3989999999999,-488.866980928974
129.0,-671.1330190710262,-914.399,-422.1529807218394
130.0,-580.0000000000001,-914.3989999999999,-397.7339618579478
131.0,-488.866980928974,-914.3989999999999,-422.15298072183936
132.0,-422.1529807218395,-914.3989999999999,-488.86698092897376
133.0,-580.0,-858.6750000000001,5.480060849549773e-14
134.0,-484.7033502110384,-872.917,7.497919665885907e-14
135.0,-532.3516751055191,-872.9169999999999,-82.52931961278966
136.0,-627.6483248944808,-872.917,-82.5293196127897
137.0,-675.2966497889616,-872.917,1.6626828092099988e-14
138.0,-627.6483248944809,-872.9170000000001,82.52931961278975
139.0,-532.3516751055192,-872.917,82.5293196127898
140.0,-397.7339618579479,-914.399,8.7069698971442e-14
141.0,-422.1529807218394,-914.3989999999999,-91.13301907102597
142.0,-488.8669809289739,-914.399,-157.84701927816053
143.0,-579.9999999999999,-914.399,-182.2660381420521
144.0,-671.133019071026,-914.399,-157.84701927816064
145.0,-737.8470192781606,-914.399,-91.13301907102606
146.0,-762.2660381420521,-914.3990000000001,-2.4536061130524785e-14
147.0,-737.8470192781607,-914.3990000000001,91.13301907102603
148.0,-671.1330190710262,-914.3990000000001,157.84701927816056
149.0,-580.0000000000001,-914.3990000000001,182.26603814205217
150.0,-488.866980928974,-914.399,157.84701927816064
151.0,-422.1529807218395,-914.399,91.13301907102624
152.0,-580.0,-858.6750000000002,580.0
153.0,-675.2966497889616,-872.9170000000001,580.0
154.0,-627.6483248944809,-872.9170000000001,662.5293196127898
155.0,-532.3516751055192,-872.9170000000001,662.5293196127898
156.0,-484.7033502110384,-872.9170000000001,580.0
157.0,-532.3516751055191,-872.9170000000001,497.47068038721034
158.0,-627.6483248944809,-872.9170000000001,497.47068038721034
159.0,-762.2660381420521,-914.3990000000002,580.0
